Abkürzung;Stadt/Landkreis;abgeleitet von;Bundesland
LEV;Stadt Leverkusen;LEVerkusen;Nordrhein-Westfalen
LF;Landkreis Altötting (C 1–999, E 1–500, I, J, M, O, Q und V 1–999);LauFen;Bayern
LG;Landkreis Lüneburg;LüneburG;Niedersachsen
LH;Kreis Coesfeld;LüdingHausen;Nordrhein-Westfalen
LI;Landkreis Lindau (Bodensee);LIndau;Bayern
LIB;Landkreis Elbe-Elster;LIeBenwerda;Brandenburg
LIF;Landkreis Lichtenfels;LIchtenFels;Bayern
LIP;Kreis Lippe;LIPpe;Nordrhein-Westfalen
LL;Landkreis Landsberg am Lech;Landsberg am Lech;Bayern
LM;Landkreis Limburg-Weilburg;LiMburg;Hessen
LN;Landkreis Dahme-Spreewald;LübbeN;Brandenburg
LÖ;Landkreis Lörrach;LÖrrach;Baden-Württemberg
LÖB;Landkreis Görlitz;LÖBau;Sachsen
LOS;Landkreis Oder-Spree;Landkreis Oder-Spree;Brandenburg
LP;Kreis Soest;LiPpstadt;Nordrhein-Westfalen
LR;Ortenaukreis;LahR;Baden-Württemberg
LRO;Landkreis Rostock;Landkreis ROstock;Mecklenburg-Vorpommern
LSA;Sachsen-Anhalt, Landesregierung, Landtag und Polizei[2];Land Sachsen-Anhalt;Sachsen-Anhalt
LSN;Sachsen, Landesregierung und Landtag;Landtag SachseN;Sachsen
LSZ;Unstrut-Hainich-Kreis;LangenSalZa;Thüringen
LU;Stadt Ludwigshafen am Rhein;LUdwigshafen;Rheinland-Pfalz
LÜN;Kreis Unna;LÜNen;Nordrhein-Westfalen
LUP;Landkreis Ludwigslust-Parchim;LUdwigslust, Parchim;Mecklenburg-Vorpommern
LWL;Landkreis Ludwigslust-Parchim;LudWigsLust;Mecklenburg-Vorpommern
M;Stadt München (AA–ZZ 100–9999)*;München;Bayern
MA;Stadt Mannheim;MAnnheim;Baden-Württemberg
MAB;Erzgebirgskreis;MArienBerg;Sachsen
MAI;Landkreis Kelheim (sonst);MAInburg;Bayern
;Landkreis Landshut (B, F, G, I, O und Q 1–9999);;
MAK;Landkreis Wunsiedel im Fichtelgebirge;MArKtredwitz;Bayern
